,pid,rest-task_MPFC-PCC,rest-twitching_MPFC-PCC,task-twitching_MPFC-PCC,rest-task_MPFC-LP(L),rest-twitching_MPFC-LP(L),task-twitching_MPFC-LP(L),rest-task_MPFC-LP(R),rest-twitching_MPFC-LP(R),task-twitching_MPFC-LP(R),rest-task_PCC-LP(L),rest-twitching_PCC-LP(L),task-twitching_PCC-LP(L),rest-task_PCC-LP(R),rest-twitching_PCC-LP(R),task-twitching_PCC-LP(R),rest-task_LP(L)-LP(R),rest-twitching_LP(L)-LP(R),task-twitching_LP(L)-LP(R),rest-task_Averaged_CC,rest-twitching_Averaged_CC,task-twitching_Averaged_CC
0,200.0,-0.28349,0.035140000000000005,0.31863,-0.29579,0.01365000000000001,0.30944,-0.34455,0.12157000000000001,0.46612000000000003,-0.05285999999999991,-0.06474999999999997,-0.011890000000000067,-0.25761,0.14606000000000008,0.4036700000000001,-0.06861,0.16126000000000001,0.22987000000000002,-0.21714999999999995,0.06883,0.28597999999999996
1,201.0,0.22893000000000008,-0.10450999999999999,-0.33344000000000007,-0.11066000000000004,-0.37296000000000007,-0.26230000000000003,0.07544000000000001,0.09136,0.01591999999999999,0.492,0.028200000000000003,-0.4638,0.5812299999999999,0.31082999999999994,-0.27040000000000003,-0.06335000000000002,0.08704999999999996,0.15039999999999998,0.20060000000000006,0.006670000000000065,-0.19393
2,202.0,0.42149000000000003,0.47730000000000006,0.05581,0.33198,0.08994999999999997,-0.24203000000000002,0.55441,0.06418999999999997,-0.49022,0.015249999999999986,0.37246,0.35721,0.07561000000000007,0.36943000000000004,0.29381999999999997,0.32439000000000007,0.24069999999999991,-0.08369000000000015,0.28718999999999995,0.269,-0.01818999999999993
3,205.0,-0.11316000000000004,-0.38315,-0.26998999999999995,0.08116000000000007,0.0021700000000000053,-0.07899000000000006,0.18764000000000003,0.11689000000000005,-0.07074999999999998,0.3012699999999999,0.15764999999999996,-0.14361999999999997,0.31906999999999996,0.14805000000000001,-0.17101999999999995,0.3235300000000001,0.131,-0.1925300000000001,0.1832499999999999,0.028769999999999962,-0.15447999999999995
4,207.0,-0.09127000000000002,0.027380000000000015,0.11865000000000003,-0.08001000000000003,-0.06568000000000002,0.01433000000000001,0.25048000000000004,0.22661,-0.023870000000000002,0.018600000000000005,0.19081000000000004,0.17221000000000003,0.05341999999999997,0.12757999999999997,0.07416,0.06142000000000003,-0.394,-0.45542000000000005,0.03543000000000002,0.01878000000000002,-0.016649999999999998
5,1.0,-0.024349999999999983,0.55505,0.5794,0.13334999999999997,0.22296999999999995,0.08961999999999998,0.09945999999999999,0.06945999999999997,-0.030000000000000027,0.010059999999999958,-0.03550000000000009,-0.045560000000000045,0.12701000000000007,0.26,0.13298999999999994,-0.03666999999999998,0.09133000000000002,0.128,0.05148000000000008,0.19389,0.14240999999999993
6,2.0,-0.5315399999999999,-0.58507,-0.05353000000000008,0.09128000000000003,-0.12084,-0.21212000000000003,0.64635,-0.08155000000000001,-0.7279,-0.16109999999999997,-0.41039000000000003,-0.24929000000000007,0.18103000000000002,-0.60713,-0.78816,0.06713999999999998,0.055499999999999994,-0.011639999999999984,0.04885000000000006,-0.29159,-0.3404400000000001
7,3.0,0.442984,0.024339999999999973,-0.418644,0.024700000000000055,-0.08004999999999995,-0.10475000000000001,0.35879000000000005,0.05427000000000004,-0.30452,-0.12618000000000001,-0.24733,-0.12114999999999998,-0.17457000000000003,-0.22889,-0.05431999999999998,0.2477799999999999,-0.12617000000000012,-0.37395,0.12892000000000003,-0.10063999999999995,-0.22956
8,12.0,0.21111999999999997,0.16279,-0.04833,-0.115376,-0.12323400000000001,-0.007858000000000004,-0.05368999999999999,-0.18017,-0.12648,0.12614000000000003,0.26358000000000004,0.13744,0.10865000000000002,0.24239,0.13373999999999997,-0.10568,-0.16264999999999996,-0.056969999999999965,0.02853,0.03378999999999999,0.005259999999999987
9,13.0,-0.6084,-0.43461000000000005,0.17379,-0.579497,-0.23030699999999998,0.34919000000000006,-0.32536000000000004,-0.034170000000000034,0.29119,-0.062309999999999977,-0.22389000000000003,-0.16158000000000006,-0.555081,-0.41520100000000004,0.13988,-0.2421399999999999,-0.034030000000000005,0.2081099999999999,-0.39546000000000003,-0.2287,0.16676000000000002
