Participant_ID,rest-task_Averaged_CC,rest-twitching_Averaged_CC,task-twitching_Averaged_CC,rest-task_Lateral(L)-Lateral(R),rest-twitching_Lateral(L)-Lateral(R),task-twitching_Lateral(L)-Lateral(R),rest-task_Medial-Lateral(L),rest-twitching_Medial-Lateral(L),task-twitching_Medial-Lateral(L),rest-task_Medial-Lateral(R),rest-twitching_Medial-Lateral(R),task-twitching_Medial-Lateral(R),rest-task_Medial-Occipital,rest-twitching_Medial-Occipital,task-twitching_Medial-Occipital,rest-task_Occipital-Lateral(L),rest-twitching_Occipital-Lateral(L),task-twitching_Occipital-Lateral(L),rest-task_Occipital-Lateral(R),rest-twitching_Occipital-Lateral(R),task-twitching_Occipital-Lateral(R)
1,-0.008419999999999983,0.19980000000000003,0.20822000000000002,0.27639,0.23841,-0.037980000000000014,-0.10217999999999999,0.12165000000000004,0.22383000000000003,-0.059109999999999996,0.10855999999999999,0.16766999999999999,-0.19269000000000003,-0.0262,0.16649000000000003,-0.05630999999999997,0.4151500000000001,0.47146000000000005,0.08335000000000004,0.34121,0.25786
2,0.05503999999999998,0.11055000000000004,0.05551000000000006,0.5302100000000001,0.70862,0.17840999999999996,-0.38925,-0.16415000000000002,0.22509999999999997,-0.38537,-0.20597,0.1794,-0.20662000000000003,-0.6162400000000001,-0.40962000000000004,0.32835000000000003,0.49099000000000004,0.16264,0.45294,0.45004,-0.0029000000000000137
3,0.3681,0.07030000000000003,-0.29779999999999995,0.5505399999999999,0.13409999999999989,-0.41644000000000003,0.42013999999999996,0.12139,-0.29874999999999996,0.31411,0.008120000000000016,-0.30599,0.54891,0.11611000000000005,-0.43279999999999996,0.34851,0.19328,-0.15522999999999998,0.026349999999999985,-0.15118999999999994,-0.17753999999999992
4,-0.11141000000000001,-0.13524999999999998,-0.023839999999999972,0.21389999999999998,0.24140000000000006,0.02750000000000008,0.08353,0.19552999999999998,0.11199999999999999,0.33982,0.22624,-0.11358000000000001,-0.383271,-0.293701,0.08956999999999998,-0.38353000000000004,-0.6006400000000001,-0.21711000000000003,-0.5389117,-0.5803117,-0.04139999999999999
5,-0.16934000000000005,-0.18186000000000002,-0.012519999999999976,0.18203000000000014,0.16900000000000004,-0.013030000000000097,-0.04278000000000004,-0.18913000000000002,-0.14634999999999998,-0.29872,-0.24481999999999993,0.05390000000000006,-0.17589,-0.08443,0.09145999999999999,-0.33529999999999993,-0.23382999999999998,0.10146999999999995,-0.3454,-0.50797,-0.16257
6,0.2863,0.39815,0.11185,0.4407000000000001,0.42989999999999995,-0.010800000000000143,-0.07458000000000009,0.56253,0.6371100000000001,0.2603000000000001,0.77473,0.5144299999999999,0.48649000000000003,0.40304000000000006,-0.08344999999999997,0.29177,0.14042,-0.15134999999999998,0.3130899999999999,0.07826999999999995,-0.23481999999999997
7,-0.823974,-0.6401840000000001,0.1837899999999999,-0.54407,-0.5414800000000001,0.002589999999999981,-0.6179100000000001,-0.70951,-0.0915999999999999,-0.72047,-0.64681,0.07366000000000006,-1.10505,-0.84369,0.26136000000000004,-1.1749,-0.89544,0.27946000000000004,-0.781473,-0.204183,0.57729
8,-0.745168,-0.792358,-0.047189999999999954,-1.306989,-1.046189,0.2607999999999999,-0.37199,-0.41897999999999996,-0.046989999999999976,-1.11062,-1.11568,-0.005059999999999953,-0.50533,-0.67866,-0.17333000000000004,-0.7903800000000001,-0.8133400000000001,-0.02295999999999998,-0.385721,-0.681311,-0.2955900000000001
9,-0.591375,-0.666245,-0.07486999999999999,-0.8335,-0.8020700000000001,0.03142999999999996,-0.6841309999999999,-0.621821,0.062309999999999977,-0.63696,-0.41841000000000006,0.2185499999999999,-0.42882000000000003,-0.7589300000000001,-0.33011,-0.69293,-0.8465900000000001,-0.15366000000000002,-0.27192,-0.54965,-0.27773000000000003
10,-0.507898,-0.733858,-0.22596000000000005,-1.53587,-1.37557,0.1603000000000001,-0.37734,-0.84509,-0.46775,-0.274396,-0.5214759999999999,-0.24707999999999997,-0.29063100000000003,-0.9556310000000001,-0.665,-0.38072000000000006,-0.48491000000000006,-0.10419,-0.18846,-0.22046999999999997,-0.03200999999999998
11,-0.6832119999999999,-0.28735200000000005,0.39585999999999993,-0.77924,-0.19601000000000002,0.58323,-0.45892,0.05049999999999999,0.50942,-0.98936,-0.5792999999999999,0.41006,-0.8037139999999999,-0.499934,0.30377999999999994,-0.652407,-0.286957,0.36544999999999994,-0.41563999999999995,-0.21243,0.20320999999999995
12,0.05051,-0.14760000000000006,-0.19811000000000006,0.5253199999999999,0.12359999999999993,-0.40171999999999997,0.14763000000000004,-0.29569999999999996,-0.44333,0.04428000000000004,-0.21400000000000002,-0.25828000000000007,0.1880364,-0.20622000000000001,-0.3942564,-0.21003000000000005,-0.11626000000000003,0.09377000000000002,-0.39216999999999996,-0.17701,0.21515999999999996
13,-0.08007999999999998,-0.018849999999999978,0.06123000000000001,0.26654999999999995,0.14337999999999995,-0.12317,-0.12619000000000002,0.09028000000000003,0.21647000000000005,0.07924000000000003,0.01199,-0.06725000000000003,-0.2379019,-0.45497190000000004,-0.21707,-0.32073,-0.05142999999999999,0.2693,-0.14144,0.14765,0.28909
14,-0.29057,-0.60791,-0.31734,-0.3774,0.17452,0.55192,-0.28854,-0.23995,0.04859000000000002,-0.46244999999999997,-0.7908599999999999,-0.32841,-0.39959,-1.19295,-0.79336,-0.20250500000000002,-0.7206600000000001,-0.518155,-0.012919999999999987,-0.87756,-0.8646400000000001
15,0.00021000000000004349,-0.16974999999999996,-0.16996,0.46070999999999995,0.38197000000000003,-0.07873999999999992,-0.37699000000000005,-0.52197,-0.14498,-0.25142000000000003,-0.46381000000000006,-0.21239000000000002,-0.17479,-0.21123999999999998,-0.03644999999999998,0.14616,-0.07040999999999997,-0.21656999999999998,0.19761000000000004,-0.13301000000000002,-0.33062
16,0.19378,0.14387000000000005,-0.049909999999999954,0.44619999999999993,0.70765,0.26145000000000007,0.19196000000000002,0.35394000000000003,0.16198,0.45203000000000004,0.5300400000000001,0.07801000000000002,0.06192600000000001,-0.340346,-0.40227199999999996,0.01627999999999996,-0.25397,-0.27024999999999993,-0.005720000000000003,-0.13408000000000003,-0.12836000000000003
